,MSNDATE,LATITUDE,LONGITUDE,cluster,Date,Tons
10671,801,50.52,13.629999999999999,0,1944-09-12,33.0
7200,747,51.75,11.88,0,1944-07-20,30.0
7219,747,50.35,7.6,0,1944-07-20,18.0
7220,747,50.35,7.6,0,1944-07-20,2.0
7221,747,50.33,8.75,0,1944-07-20,1.0
7222,747,50.33,8.75,0,1944-07-20,59.0
7223,747,50.55,9.67,0,1944-07-20,24.0
7224,747,50.55,9.67,0,1944-07-20,0.0
7225,747,51.02,10.18,0,1944-07-20,27.0
7226,747,47.65,9.5,0,1944-07-20,72.0
7227,747,47.65,9.5,0,1944-07-20,82.0
7228,747,47.65,9.5,0,1944-07-20,0.0
7229,747,47.65,9.5,0,1944-07-20,76.0
7230,747,50.6,8.68,0,1944-07-20,3.0
7231,747,47.88,10.62,0,1944-07-20,3.0
7232,747,51.2,11.269999999999998,0,1944-07-20,30.0
7233,747,51.2,11.269999999999998,0,1944-07-20,28.0
7234,747,50.97,11.03,0,1944-07-20,27.0
7235,747,47.65,9.5,0,1944-07-20,64.0
7218,747,50.95,10.07,0,1944-07-20,30.0
7236,747,47.65,9.5,0,1944-07-20,68.0
7217,747,51.08,11.620000000000001,0,1944-07-20,27.0
7215,747,50.37,8.72,0,1944-07-20,0.0
7198,747,51.75,11.88,0,1944-07-20,30.0
7201,747,51.75,11.88,0,1944-07-20,33.0
7199,747,51.75,11.88,0,1944-07-20,5.0
7202,747,51.75,11.88,0,1944-07-20,22.0
7269,748,50.52,13.629999999999999,0,1944-07-21,52.0
7204,747,50.71999999999999,15.35,0,1944-07-20,0.0
7205,747,47.65,9.5,0,1944-07-20,72.0
7206,747,47.65,9.5,0,1944-07-20,82.0
7207,747,47.65,9.5,0,1944-07-20,0.0
7208,747,47.65,9.5,0,1944-07-20,76.0
7209,747,51.3,11.85,0,1944-07-20,40.0
7210,747,51.3,11.85,0,1944-07-20,33.0
7211,747,51.3,11.85,0,1944-07-20,43.0
7212,747,51.3,11.85,0,1944-07-20,13.0
7213,747,51.3,11.85,0,1944-07-20,3.0
7214,747,50.37,8.72,0,1944-07-20,0.0
7197,747,51.75,11.88,0,1944-07-20,25.0
7113,747,50.97,11.03,0,1944-07-20,27.0
7237,747,47.65,9.5,0,1944-07-20,63.0
7239,747,50.97,11.03,0,1944-07-20,2.0
7261,747,51.2,11.269999999999998,0,1944-07-20,28.0
